grade_id;course_id;check_point_id;student_id;grade
0;41;A1;2;-1.0
1;41;A1;1312209;-1.0
2;41;A1;1268787;-1.0
3;41;A1;1309997;-1.0
4;41;A1;1295128;-1.0
5;41;A1;1114561;-1.0
6;41;A1;437459;-1.0
7;41;A1;1312548;-1.0
8;41;A1;65217;-1.0
9;41;A1;317743;-1.0
10;41;A1;31417;-1.0
11;41;A1;1284769;-1.0
12;41;A1;1312598;-1.0
13;41;A1;223044;0.142857142857
14;41;A1;218235;0.142857142857
15;41;A1;1262307;-1.0
16;41;A1;1307015;-1.0
17;41;A1;65950;-1.0
18;41;A1;137739;-1.0
19;41;A1;157502;-1.0
20;41;A1;147837;-1.0
21;41;A1;59838;-1.0
22;41;A1;218247;0.714285714286
23;41;A1;217337;0.571428571429
24;41;A1;553160;0.857142857143
25;41;A1;770566;-1.0
26;41;A1;1306256;-1.0
27;41;A1;1314833;-1.0
28;41;A1;476868;-1.0
29;41;A1;1266257;-1.0
30;41;A1;80213;-1.0
31;41;A1;1315654;0.857142857143
32;41;A1;581312;1.0
33;41;A1;263110;-1.0
34;41;A1;1308289;-1.0
35;41;A1;1086370;-1.0
36;41;A1;229922;1.0
37;41;A1;1316060;-1.0
38;41;A1;55467;-1.0
39;41;A1;1290309;-1.0
40;41;A1;324374;-1.0
41;41;A1;395646;0.0
42;41;A1;12776;-1.0
43;41;A1;46724;-1.0
44;41;A1;460081;-1.0
45;41;A1;335907;-1.0
46;41;A1;230743;-1.0
47;41;A1;40303;-1.0
48;41;A1;422408;-1.0
49;41;A1;73337;-1.0
50;41;A1;1232901;0.428571428571
51;41;A1;1136701;0.428571428571
52;41;A1;1232973;0.714285714286
53;41;A1;1241703;-1.0
54;41;A1;1241727;-1.0
55;41;A1;1268155;-1.0
56;41;A1;306184;-1.0
57;41;A1;677563;-1.0
58;41;A1;222831;-1.0
59;41;A1;1317386;0.428571428571
60;41;A1;1317388;-1.0
61;41;A1;1317385;0.142857142857
62;41;A1;1317391;-1.0
63;41;A1;1317387;-1.0
64;41;A1;1317392;1.0
65;41;A1;1317428;-1.0
66;41;A1;1317456;0.714285714286
67;41;A1;154775;-1.0
68;41;A1;1318807;-1.0
69;41;A1;1318888;0.142857142857
70;41;A1;1304908;-1.0
71;41;A1;53017;0.285714285714
72;41;A1;1232999;0.714285714286
73;41;A1;761155;-1.0
74;41;A1;974083;-1.0
75;41;A1;1274073;-1.0
76;41;A1;9408;0.714285714286
77;41;A1;85605;-1.0
78;41;A1;148032;-1.0
79;41;A1;206593;-1.0
80;41;A1;1284261;0.857142857143
81;41;A1;317414;1.0
82;41;A1;104345;-1.0
83;41;A1;443304;-1.0
84;41;A1;429624;0.0
85;41;A1;222777;-1.0
86;41;A1;958537;-1.0
87;41;A1;1322171;-1.0
88;41;A1;1322176;-1.0
89;41;A1;1322169;-1.0
90;41;A1;1322175;-1.0
91;41;A1;1322188;-1.0
92;41;A1;1193620;0.571428571429
93;41;A1;1307462;-1.0
94;41;A1;1322370;-1.0
95;41;A1;1322649;0.142857142857
96;41;A1;26078;-1.0
97;41;A1;577055;-1.0
98;41;A1;351841;-1.0
99;41;A1;797278;-1.0
100;41;A1;1323204;0.428571428571
101;41;A1;1323236;-1.0
102;41;A1;1323239;-1.0
103;41;A1;1323234;-1.0
104;41;A1;247740;-1.0
105;41;A1;565925;-1.0
106;41;A1;1239351;0.857142857143
107;41;A1;429134;0.142857142857
108;41;A1;398069;-1.0
109;41;A1;1322211;-1.0
110;41;A1;1279917;-1.0
111;41;A1;1325960;-1.0
112;41;A1;423009;0.857142857143
113;41;A1;45058;0.857142857143
114;41;A1;1308570;-1.0
115;41;A1;1326125;0.714285714286
116;41;A1;296802;-1.0
117;41;A1;98093;-1.0
118;41;A1;641542;-1.0
119;41;A1;255919;1.0
120;41;A1;695629;-1.0
121;41;A1;1184632;-1.0
122;41;A1;227728;-1.0
123;41;A1;679543;-1.0
124;41;A1;279377;-1.0
125;41;A1;222800;-1.0
126;41;A1;1327442;-1.0
127;41;A1;1327532;-1.0
128;41;A1;33777;-1.0
129;41;A1;218333;0.428571428571
130;41;A1;226053;-1.0
